Name,License
gopkg.in/yaml.v3,Apache-2.0 OR MIT
github.com/aws/aws-sdk-go,Apache-2.0
github.com/distribution/reference,Apache-2.0
gotest.tools/v3,Apache-2.0
k8s.io/api,Apache-2.0
k8s.io/apimachinery,Apache-2.0
k8s.io/client-go,Apache-2.0
k8s.io/kubectl,Apache-2.0
k8s.io/utils,Apache-2.0
sigs.k8s.io/gateway-api,Apache-2.0
dario.cat/mergo,BSD-3-Clause
github.com/google/go-cmp,BSD-3-Clause
github.com/google/uuid,BSD-3-Clause
golang.org/x/sync,BSD-3-Clause
github.com/alecthomas/kong,MIT
github.com/cenkalti/backoff/v5,MIT
github.com/gin-gonic/gin,MIT
github.com/goccy/go-json,MIT
github.com/jellydator/ttlcache/v3,MIT
github.com/kr/pretty,MIT
gopkg.in/natefinch/lumberjack.v2,MIT
